Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C301,0.1uF,C_0201_Dense,153.33,-126.353,-90.0,top
C701,22uF,C_0603_Dense,158.6,-119.253,-90.0,top
C702,0.1uF,C_0201_Dense,167.97,-115.203,180.0,top
C703,0.1uF,C_0201_Dense,167.97,-115.703,180.0,top
C704,22uF,C_0603_Dense,166.35,-119.253,-90.0,top
C705,0.1uF,C_0201_Dense,167.97,-116.203,180.0,top
C706,22uF,C_0603_Dense,167.9,-119.253,-90.0,top
C707,22uF,C_0603_Dense,160.15,-119.253,-90.0,top
C708,22uF,C_0603_Dense,161.7,-119.253,-90.0,top
C709,22uF,C_0603_Dense,163.25,-119.253,-90.0,top
C710,22uF,C_0603_Dense,164.8,-119.253,-90.0,top
C711,0.1uF,C_0201_Dense,170.54,-112.44,0.0,top
C713,0.1uF,C_0201_Dense,167.97,-113.203,180.0,top
C714,0.1uF,C_0201_Dense,167.97,-113.703,180.0,top
C715,0.1uF,C_0201_Dense,167.97,-114.203,180.0,top
C716,0.1uF,C_0201_Dense,167.97,-114.703,180.0,top
C717,0.1uF,C_0201_Dense,168.3,-112.23,-90.0,top
C801,0.1uF,C_0201_Dense,175.4,-125.8999,180.0,bottom
C802,0.1uF,C_0201_Dense,172.6,-125.8999,180.0,bottom
C803,0.1uF,C_0201_Dense,176.4,-119.953,0.0,bottom
C804,0.1uF,C_0201_Dense,174.4,-119.953,0.0,bottom
C805,0.1uF,C_0201_Dense,181.5,-126.913,0.0,bottom
C806,0.1uF,C_0201_Dense,175.4,-122.8999,180.0,bottom
C807,0.1uF,C_0201_Dense,172.6,-122.8999,180.0,bottom
C808,0.1uF,C_0201_Dense,176.4,-118.703,180.0,top
C809,0.1uF,C_0201_Dense,174.4,-118.703,180.0,top
C810,0.1uF,C_0201_Dense,181.5,-126.113,180.0,bottom
C811,22uF,C_0603_Dense,175.7,-112.95,180.0,bottom
C812,0.1uF,C_0201_Dense,174.77,-112.0375,0.0,bottom
C813,0.1uF,C_0201_Dense,176.27,-112.0375,0.0,bottom
C814,1uF,C_0201_Dense,176.27,-111.45,0.0,bottom
C815,0.1uF,C_0201_Dense,176.33,-114.9625,180.0,bottom
C816,22uF,C_0603_Dense,175.1,-115.65,270.0,bottom
C817,1uF,C_0201_Dense,173.78,-115.95,0.0,top
C818,1uF,C_0201_Dense,176.18,-115.95,180.0,top
C819,0.1uF,C_0201_Dense,177.38,-115.95,180.0,top
C820,0.1uF,C_0201_Dense,177.38,-116.55,180.0,top
C821,0.1uF,C_0201_Dense,174.98,-115.95,180.0,top
C822,0.1uF,C_0201_Dense,174.98,-116.55,180.0,top
C901,0.1uF,C_0201_Dense,171.0,-109.46,270.0,bottom
C902,0.1uF,C_0201_Dense,169.5,-109.46,270.0,bottom
C903,0.1uF,C_0201_Dense,168.0,-109.46,270.0,bottom
C904,0.1uF,C_0201_Dense,166.5,-109.46,270.0,bottom
C905,0.1uF,C_0201_Dense,165.0,-109.46,270.0,bottom
C906,0.1uF,C_0201_Dense,164.8,-113.058,270.0,bottom
C907,0.1uF,C_0201_Dense,161.9,-117.25,-90.0,top
C908,0.1uF,C_0201_Dense,161.4,-117.25,-90.0,top
C909,0.1uF,C_0201_Dense,162.4,-117.25,-90.0,top
C910,4.7nF,C_0201_Dense,163.6,-116.903,0.0,top
C911,0.1uF,C_0201_Dense,166.38,-114.228,0.0,top
C912,0.1uF,C_0201_Dense,167.38,-113.628,180.0,bottom
C913,0.1uF,C_0201_Dense,166.38,-113.728,0.0,top
C914,0.1uF,C_0201_Dense,167.38,-114.128,180.0,bottom
C915,4.7nF,C_0201_Dense,167.1,-115.703,-90.0,top
C916,0.1uF,C_0201_Dense,160.7,-110.85,180.0,bottom
CMC701,CMC 0805,CMC_0805,170.9,-120.053,270.0,bottom
CN301,SM32B-NSHDZS-1-TF,JST_NSHD_SM32B-NSHD_2x16_P1.0mm_Horizontal_SMD,167.9,-103.903,180.0,top
CN302,SM32B-NSHDZS-1-TF,JST_NSHD_SM32B-NSHD_2x16_P1.0mm_Horizontal_SMD,167.9,-124.403,0.0,top
D701,PMEG4002ESFYL,DFN0603-2,163.6,-117.553,180.0,top
D702,SZESD7241N2T5G,DFN1006-2,171.4,-122.453,270.0,bottom
D703,SZESD7241N2T5G,DFN1006-2,170.4,-122.453,270.0,bottom
D704,D15V0H1U2LP-7B,DFN1006-2,162.9,-122.653,270.0,bottom
D801,PMEG4002ESFYL,DFN0603-2,175.0,-123.6999,270.0,bottom
D802,D15V0H1U2LP-7B,DFN1006-2,174.4,-127.153,270.0,bottom
D803,PMEG4002ESFYL,DFN0603-2,175.8,-123.6999,90.0,bottom
D804,PMEG4002ESFYL,DFN0603-2,172.2,-123.6999,270.0,bottom
D805,D15V0H1U2LP-7B,DFN1006-2,173.4,-127.153,270.0,bottom
D806,PMEG4002ESFYL,DFN0603-2,173.0,-123.6999,90.0,bottom
D807,PMEG4002ESFYL,DFN0603-2,176.8,-119.103,270.0,bottom
D808,D15V0H1U2LP-7B,DFN1006-2,175.4,-121.153,90.0,bottom
D809,PMEG4002ESFYL,DFN0603-2,176.0,-119.103,90.0,bottom
D810,PMEG4002ESFYL,DFN0603-2,174.8,-119.103,270.0,bottom
D811,D15V0H1U2LP-7B,DFN1006-2,174.4,-121.153,90.0,bottom
D812,PMEG4002ESFYL,DFN0603-2,174.0,-119.103,90.0,bottom
D813,PMEG4002ESFYL,DFN0603-2,179.8,-126.393,-90.0,top
D814,D15V0H1U2LP-7B,DFN1006-2,175.4,-127.153,270.0,bottom
D815,SZESD7241N2T5G,DFN1006-2,167.4,-122.453,270.0,bottom
D816,SZESD7241N2T5G,DFN1006-2,168.4,-122.453,270.0,bottom
D901,PMEG4002ESFYL,DFN0603-2,176.4,-107.543,-90.0,top
D902,PMEG4002ESFYL,DFN0603-2,164.245,-109.37,90.0,bottom
D903,PMEG4002ESFYL,DFN0603-2,165.75,-109.37,90.0,bottom
D904,PMEG4002ESFYL,DFN0603-2,177.41,-107.353,0.0,top
D905,D15V0H1U2LP-7B,DFN1006-2,163.95,-108.39,0.0,bottom
D906,D15V0H1U2LP-7B,DFN1006-2,165.45,-108.39,0.0,bottom
D907,D15V0H1U2LP-7B,DFN1006-2,161.5,-108.536,180.0,top
D908,PMEG4002ESFYL,DFN0603-2,167.25,-109.37,90.0,bottom
D909,PMEG4002ESFYL,DFN0603-2,168.75,-109.37,90.0,bottom
D910,D15V0H1U2LP-7B,DFN1006-2,166.95,-108.399,0.0,bottom
D911,D15V0H1U2LP-7B,DFN1006-2,168.45,-108.39,0.0,bottom
D912,PMEG4002ESFYL,DFN0603-2,165.7,-117.103,90.0,top
D913,PMEG4002ESFYL,DFN0603-2,170.25,-109.37,90.0,bottom
D914,PMEG4002ESFYL,DFN0603-2,171.75,-109.37,90.0,bottom
D915,D15V0H1U2LP-7B,DFN1006-2,169.95,-108.39,0.0,bottom
D916,D15V0H1U2LP-7B,DFN1006-2,171.45,-108.39,0.0,bottom
Q901,NTLJS17D0P03P8Z,WDFN6-4_2.05x2.05mm_P0.65mm,159.4,-109.411,180.0,top
R301,5k1,R_0201_Dense,154.53,-126.353,90.0,top
R302,5k1,R_0201_Dense,153.93,-126.353,-90.0,top
R701,5k1,R_0201_Dense,161.92,-110.35,0.0,bottom
R702,33R,R_0201_Dense,172.27,-116.203,180.0,top
R703,470R,R_0201_Dense,173.5,-117.703,0.0,bottom
R704,5k1,R_0201_Dense,169.0,-112.365,270.0,bottom
R801,26k1,R_0201_Dense,174.4,-124.9499,270.0,bottom
R802,26k1,R_0201_Dense,173.6,-124.9499,270.0,bottom
R803,26k1,R_0201_Dense,175.4,-119.653,-90.0,top
R804,26k1,R_0201_Dense,173.4,-119.653,-90.0,top
R805,5k1,R_0201_Dense,180.5,-125.833,90.0,bottom
R806,470R,R_0201_Dense,180.5,-126.393,90.0,top
R807,33R,R_0201_Dense,173.78,-117.15,180.0,top
R808,33R,R_0201_Dense,173.78,-116.55,0.0,top
R809,33R,R_0201_Dense,176.18,-116.55,180.0,top
R810,33R,R_0201_Dense,176.18,-117.15,0.0,top
R811,5k1,R_0201_Dense,176.33,-110.5,180.0,top
R812,33R,R_0201_Dense,176.33,-111.1,180.0,top
R813,0R,R_0201_Dense,174.0,-111.45,180.0,top
R901,33R,R_0201_Dense,166.38,-114.728,180.0,top
R902,33R,R_0201_Dense,164.2,-108.67,-90.0,top
R903,33R,R_0201_Dense,165.7,-108.703,-90.0,top
R904,5k1,R_0201_Dense,163.7,-108.67,90.0,top
R905,5k1,R_0201_Dense,165.2,-108.703,90.0,top
R906,33R,R_0201_Dense,158.72,-114.728,0.0,bottom
R907,5k1,R_0201_Dense,166.1,-115.703,-90.0,top
R908,5k1,R_0201_Dense,166.6,-115.703,-90.0,top
R909,100k,R_0201_Dense,161.0,-109.55,90.0,top
R910,33R,R_0201_Dense,167.2,-108.703,-90.0,top
R911,33R,R_0201_Dense,168.7,-108.703,-90.0,top
R912,5k1,R_0201_Dense,166.7,-108.703,90.0,top
R913,5k1,R_0201_Dense,168.2,-108.703,90.0,top
R914,5k1,R_0201_Dense,166.5,-117.103,-90.0,top
R915,33R,R_0201_Dense,170.2,-108.703,-90.0,top
R916,33R,R_0201_Dense,171.7,-108.703,-90.0,top
R917,5k1,R_0201_Dense,169.7,-108.703,90.0,top
R918,5k1,R_0201_Dense,171.2,-108.703,90.0,top
